Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Football - Tajikistan - Fft Cup;Football;3-Way;0;0;1;0,00 €;0,00 €;0,00 €;0,02 €;0,02 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Campeonato Carioca Women;Football;Handicap;23;23;23;0,00 €;0,00 €;122,44 €;526,89 €;404,44 €;76.76%;0,00 €;122,44 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Campeonato Carioca Women;Football;Over/Under rest of the game;0;0;1;0,00 €;0,00 €;0,00 €;0,05 €;0,05 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Campeonato Carioca Women;Football;3-Way;2;2;6;0,00 €;0,00 €;0,00 €;1,24 €;1,24 €;100.00%;0,00 €;0,00 €;0,03 €  /  0,28 €  ( 10.16% )
ene-21;Football - Brazil - Campeonato Carioca Women;Football;Winning Margin;1;1;1;0,00 €;0,00 €;0,00 €;34,75 €;34,75 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain Amateur - Tercera Division;Football;Both teams to score?;6;6;7;0,00 €;0,00 €;20,54 €;23,43 €;2,89 €;12.33%;0,00 €;20,54 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain Amateur - Tercera Division;Football;How many goals will team X score?;1;1;1;0,00 €;0,00 €;0,00 €;0,78 €;0,78 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga Femenina 2;Basketball;Match Winner;8;8;14;0,00 €;0,00 €;6,86 €;28,19 €;21,33 €;75.66%;0,01 €;6,87 €;0,01 €  /  0,02 €  ( 41.75% )
ene-21;Football - Copa Libertadores - Copa Libertadores, Qualification;Football;Who qualifies?;44;51;101;0,00 €;0,00 €;188,21 €;599,03 €;410,82 €;68.58%;0,09 €;188,30 €;42,22 €  /  546,91 €  ( 7.72% )
ene-21;Football - Copa Libertadores - Copa Libertadores, Qualification;Football;Goal scorer remaining time;3;4;4;0,00 €;0,00 €;6,92 €;3,55 €;-3,37 €;-94.89% ;0,00 €;6,92 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Copa Libertadores - Copa Libertadores, Qualification;Football;Halftime score;1;1;1;0,00 €;0,00 €;0,00 €;0,46 €;0,46 €;100.00%;0,00 €;0,00 €;0,13 €  /  0,46 €  ( 27.86% )
ene-21;Football - Copa Libertadores - Copa Libertadores, Qualification;Football;Over/Under goals in match;205;274;580;0,80 €;0,24 €;2.266,92 €;2.566,68 €;299,53 €;11.67%;3,75 €;2.270,91 €;208,37 €  /  1.595,12 €  ( 13.06% )
ene-21;Football - Copa Libertadores - Copa Libertadores, Qualification;Football;Who wins the half?;49;67;88;0,00 €;0,00 €;88,58 €;245,91 €;157,32 €;63.98%;0,00 €;88,58 €;12,32 €  /  109,01 €  ( 11.30% )
ene-21;Basketball - Spain - Liga EBA;Basketball;Half-time Winner;2;2;3;0,00 €;0,00 €;52,79 €;36,38 €;-16,42 €;-45.13% ;0,00 €;52,79 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga EBA;Basketball;Over/Under points in Match;8;8;9;0,00 €;0,00 €;127,80 €;92,52 €;-35,27 €;-38.12% ;0,00 €;127,80 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga EBA;Basketball;Over/Under points in Quarter;5;5;5;0,00 €;0,00 €;20,34 €;92,96 €;72,62 €;78.12%;0,00 €;20,34 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga EBA;Basketball;Quarter Winner;2;2;2;0,00 €;0,00 €;47,95 €;37,08 €;-10,86 €;-29.30% ;0,00 €;47,95 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga EBA;Basketball;Over/under points in halftime for team;3;3;3;0,00 €;0,00 €;0,00 €;117,90 €;117,90 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Aussie Rules - Australia - AFL, Women;Aussie Rules;Handicap;2;2;2;0,00 €;0,00 €;0,00 €;33,82 €;33,82 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Aussie Rules - Australia - AFL, Women;Aussie Rules;Halftime handicap;2;2;2;0,00 €;0,00 €;92,51 €;41,23 €;-51,28 €;-124.38% ;0,00 €;92,51 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Catarinense Serie C;Football;Who scores next ?;3;3;3;0,00 €;0,00 €;0,31 €;1,41 €;1,10 €;78.18%;0,00 €;0,31 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Catarinense Serie C;Football;3-Way;6;6;20;0,00 €;0,00 €;8,50 €;13,98 €;5,49 €;39.25%;0,33 €;8,83 €;0,02 €  /  0,57 €  ( 3.69% )
ene-21;Football - Brazil - Copa Alagoas;Football;Over/Under rest of the game;0;0;2;0,00 €;0,00 €;0,00 €;2,96 €;2,96 €;100.00%;0,00 €;0,00 €;0,14 €  /  2,63 €  ( 5.16% )
ene-21;Football - Brazil - Copa Alagoas;Football;Remaining time 3-way;0;0;3;0,00 €;0,00 €;0,00 €;0,34 €;0,34 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - El Salvador - Extra Time;Football;3-Way;4;4;4;0,00 €;0,00 €;0,86 €;2,09 €;1,23 €;58.90%;0,00 €;0,86 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - El Salvador - Extra Time;Football;Remaining time 3-way;1;1;1;0,00 €;0,00 €;0,34 €;0,23 €;-0,11 €;-45.37% ;0,00 €;0,34 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - England - Championship;Football;Over/Under goals in match;135;139;849;1,44 €;0,00 €;452,25 €;684,85 €;232,59 €;33.96%;5,23 €;457,48 €;91,44 €  /  411,67 €  ( 22.21% )
ene-21;Football - France - Ligue 1;Football;Which team will get most corners?;7;12;19;0,00 €;0,00 €;20,06 €;23,96 €;3,90 €;16.29%;0,00 €;20,06 €;1,48 €  /  5,67 €  ( 26.03% )
ene-21;Football - France - Ligue 1;Football;Will there be a red card in the match?;2;2;12;0,00 €;0,00 €;0,00 €;3,50 €;3,50 €;100.00%;0,00 €;0,00 €;0,67 €  /  3,50 €  ( 19.06% )
ene-21;Ice Hockey - Denmark - Cup;Ice Hockey;2-Way (incl. extra time/penalty);1;1;1;0,00 €;0,00 €;0,00 €;2,29 €;2,29 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Mexico - Primera División;Football;Will there be at least 1 goal in both halves?;28;32;52;0,00 €;0,00 €;71,32 €;90,51 €;19,19 €;21.20%;0,00 €;71,32 €;3,29 €  /  25,03 €  ( 13.14% )
ene-21;Football - Mexico - Primera División;Football;More/less rest of half;23;23;29;0,00 €;0,00 €;314,62 €;216,52 €;-98,10 €;-45.31% ;0,00 €;314,62 €;0,38 €  /  8,00 €  ( 4.80% )
ene-21;Football - Spain - La Liga;Football;Even/Odd?;1;2;4;0,00 €;0,00 €;0,00 €;1,17 €;1,17 €;100.00%;0,00 €;0,00 €;0,10 €  /  0,58 €  ( 16.98% )
ene-21;Football - Belgium - PRO League;Football;Highest scoring half?;0;0;1;0,00 €;0,00 €;0,00 €;0,19 €;0,19 €;100.00%;0,00 €;0,00 €;0,04 €  /  0,19 €  ( 18.99% )
ene-21;Football - Netherlands - Eerste Divisie;Football;Next goal of half;4;4;4;0,00 €;0,00 €;0,00 €;4,58 €;4,58 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Netherlands - Eerste Divisie;Football;Both teams to score?;62;70;192;0,00 €;0,03 €;409,54 €;375,26 €;-34,30 €;-9.14% ;0,20 €;409,77 €;43,06 €  /  325,95 €  ( 13.21% )
ene-21;Football - Netherlands - Eerste Divisie;Football;3-Way;248;262;1347;0,89 €;0,66 €;373,44 €;827,56 €;453,46 €;54.84%;4,81 €;378,92 €;64,43 €  /  380,53 €  ( 16.93% )
ene-21;Football - Netherlands - Eerste Divisie;Football;Does Team X score at least one goal?;5;5;19;0,00 €;0,00 €;11,25 €;15,66 €;4,41 €;28.14%;0,00 €;11,25 €;3,45 €  /  14,30 €  ( 24.11% )
ene-21;Football - Germany - Bundesliga;Football;Draw no bet;85;92;230;0,00 €;31,05 €;445,72 €;560,14 €;83,37 €;15.76%;1,27 €;478,04 €;31,42 €  /  221,66 €  ( 14.17% )
ene-21;Football - Croatia - HNL;Football;Double chance;24;29;131;0,00 €;0,01 €;53,69 €;541,93 €;488,23 €;90.09%;0,07 €;53,77 €;22,40 €  /  409,41 €  ( 5.47% )
ene-21;Football - Croatia - HNL;Football;Over/Under goals in match;31;31;127;0,00 €;0,00 €;80,55 €;327,34 €;246,79 €;75.39%;0,44 €;80,99 €;24,55 €  /  90,75 €  ( 27.05% )
ene-21;Football - Croatia - HNL;Football;Over/Under and match bet;1;1;2;0,00 €;0,00 €;0,00 €;0,19 €;0,19 €;100.00%;0,00 €;0,00 €;0,07 €  /  0,19 €  ( 37.90% )
ene-21;Football - Turkey - Super Lig;Football;Both teams to score & Over/Under Goals;1;1;5;0,00 €;0,00 €;2,63 €;1,47 €;-1,16 €;-79.23% ;0,00 €;2,63 €;0,13 €  /  0,27 €  ( 45.96% )
ene-21;Football - Turkey - Super Lig;Football;Corners handicap;2;6;7;0,00 €;0,00 €;2,15 €;34,09 €;31,94 €;93.68%;0,05 €;2,20 €;2,28 €  /  32,52 €  ( 7.01% )
ene-21;Football - Turkey - Super Lig;Football;Goal scorer;1;1;1;0,00 €;0,00 €;0,00 €;1,15 €;1,15 €;100.00%;0,00 €;0,00 €;0,27 €  /  1,15 €  ( 23.59% )
ene-21;Football - Turkey - Super Lig;Football;Which team will get most corners?;15;19;26;0,00 €;0,00 €;1,76 €;207,34 €;205,58 €;99.15%;0,05 €;1,81 €;1,60 €  /  5,88 €  ( 27.28% )
ene-21;Football - Turkey - Super Lig;Football;Over/Under goals in match;368;431;1546;5,96 €;9,82 €;4.465,75 €;4.868,87 €;393,30 €;8.09%;13,28 €;4.488,84 €;318,09 €  /  2.279,57 €  ( 13.95% )
ene-21;Football - Turkey - Super Lig;Football;Both teams to score?;110;120;390;0,00 €;0,01 €;321,79 €;503,98 €;182,18 €;36.15%;1,70 €;323,51 €;30,89 €  /  169,60 €  ( 18.22% )
ene-21;Football - Turkey - Super Lig;Football;Both teams to score in the X half?;2;2;2;0,00 €;0,00 €;44,22 €;7,61 €;-36,62 €;-481.39% ;0,00 €;44,22 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Turkey - Super Lig;Football;Does the specified team win either half?;3;3;14;0,00 €;0,00 €;0,60 €;3,07 €;2,46 €;80.28%;0,00 €;0,60 €;0,44 €  /  1,92 €  ( 23.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Will there be at least 1 goal in both halves?;0;0;1;0,00 €;0,00 €;0,00 €;0,02 €;0,02 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,02 €  ( 55.30% )
ene-21;Football - Poland - Ekstraklasa;Football;Handicap;0;0;1;0,00 €;0,00 €;0,00 €;0,11 €;0,11 €;100.00%;0,00 €;0,00 €;0,08 €  /  0,11 €  ( 65.68% )
ene-21;Football - Poland - Ekstraklasa;Football;Who scores next ?;2;2;4;0,00 €;0,00 €;7,86 €;7,12 €;-0,74 €;-10.40% ;0,00 €;7,86 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Even/Odd?;0;0;1;0,00 €;0,00 €;0,00 €;0,76 €;0,76 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Over/Under rest of the game;4;4;13;0,00 €;0,00 €;2,35 €;11,01 €;8,65 €;78.63%;0,12 €;2,47 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;More/less rest of half;3;3;6;0,00 €;0,00 €;8,85 €;7,07 €;-1,78 €;-25.19% ;0,00 €;8,85 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Over/Under goals in match;7;7;24;0,00 €;0,00 €;69,56 €;76,90 €;7,33 €;9.54%;0,00 €;69,56 €;2,96 €  /  16,18 €  ( 18.28% )
ene-21;Football - Poland - Ekstraklasa;Football;Halftime - Over/Under Bet;0;0;1;0,00 €;0,00 €;3,54 €;1,53 €;-2,01 €;-131.72% ;0,00 €;3,54 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;Who wins the half?;0;0;1;0,00 €;0,00 €;0,00 €;0,02 €;0,02 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Poland - Ekstraklasa;Football;3-Way;27;27;74;0,00 €;0,00 €;8,20 €;135,12 €;126,92 €;93.93%;0,07 €;8,27 €;10,92 €  /  102,70 €  ( 10.63% )
ene-21;Football - Poland - Ekstraklasa;Football;Remaining time 3-way;3;3;5;0,00 €;0,00 €;0,29 €;0,81 €;0,52 €;64.35%;0,00 €;0,29 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - International - Int. Friendly Games;Football;Handicap;2;3;4;0,00 €;0,00 €;5,46 €;4,15 €;-1,31 €;-31.50% ;0,01 €;5,47 €;0,02 €  /  0,10 €  ( 17.79% )
ene-21;Football - International - Int. Friendly Games;Football;Draw no bet;3;3;3;0,00 €;1,90 €;0,26 €;2,11 €;-0,05 €;-20.91% ;0,00 €;2,16 €;0,02 €  /  0,22 €  ( 10.08% )
ene-21;Football - International - Int. Friendly Games;Football;More/less rest of half;4;4;4;0,00 €;0,00 €;30,46 €;31,71 €;1,25 €;3.93%;0,00 €;30,46 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - International - Int. Friendly Games;Football;Does Team X score at least one goal?;1;1;1;0,00 €;0,00 €;0,00 €;27,44 €;27,44 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Brazil - Brasileiro Serie A;Football;Over/Under and match bet;3;5;13;0,00 €;0,00 €;0,00 €;1,80 €;1,80 €;100.00%;0,00 €;0,00 €;0,47 €  /  1,44 €  ( 32.80% )
ene-21;Football - England - League Two;Football;Even/Odd?;0;0;1;0,00 €;0,00 €;0,00 €;0,76 €;0,76 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - England - League Two;Football;Both teams to score?;19;19;73;0,00 €;0,00 €;68,78 €;46,34 €;-22,44 €;-48.43% ;0,13 €;68,91 €;7,38 €  /  36,75 €  ( 20.09% )
ene-21;Football - England - League Two;Football;Does the specified team win either half?;0;0;2;0,00 €;0,00 €;0,00 €;0,06 €;0,06 €;100.00%;0,00 €;0,00 €;0,02 €  /  0,06 €  ( 40.71% )
ene-21;Football - International Clubs - Club Friendly Games;Football;Correct Score AAMS;7;8;8;0,00 €;0,00 €;3,06 €;8,55 €;5,49 €;64.24%;0,00 €;3,06 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - International Clubs - Club Friendly Games;Football;Over/Under rest of the game;122;124;261;0,00 €;0,00 €;1.819,20 €;1.229,54 €;-589,66 €;-47.96% ;37,61 €;1.856,80 €;5,05 €  /  44,46 €  ( 11.35% )
ene-21;Football - International Clubs - Club Friendly Games;Football;Over/Under goals in match;108;109;186;0,27 €;25,23 €;617,27 €;851,87 €;209,38 €;25.33%;0,70 €;643,19 €;24,22 €  /  88,42 €  ( 27.39% )
ene-21;Football - International Clubs - Club Friendly Games;Football;How many goals will team X score?;1;1;1;0,00 €;0,00 €;0,00 €;2,29 €;2,29 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Ice Hockey - Finland - Liiga;Ice Hockey;Double chance;0;0;3;0,00 €;0,00 €;3,73 €;0,38 €;-3,35 €;-883.30% ;0,37 €;4,11 €;0,19 €  /  0,38 €  ( 51.06% )
ene-21;Ice Hockey - Czech Republic - Extraliga;Ice Hockey;Who wins the period?;8;8;9;0,00 €;0,00 €;112,40 €;93,17 €;-19,23 €;-20.64% ;0,00 €;112,40 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Greece - Super League;Football;Will there be at least 1 goal in both halves?;10;10;21;0,00 €;0,00 €;8,88 €;18,77 €;9,89 €;52.68%;0,00 €;8,88 €;0,65 €  /  1,72 €  ( 37.72% )
ene-21;Ice Hockey - USA - NHL;Ice Hockey;Double chance;13;13;87;0,00 €;0,00 €;18,94 €;60,87 €;41,93 €;68.89%;0,26 €;19,20 €;11,87 €  /  49,29 €  ( 24.08% )
ene-21;Ice Hockey - USA - NHL;Ice Hockey;3-Way;148;151;683;0,00 €;1,09 €;179,34 €;304,85 €;124,43 €;40.96%;0,59 €;181,01 €;36,67 €  /  179,08 €  ( 20.48% )
ene-21;Football - Australia - A-League;Football;Will there be at least 1 goal in both halves?;1;1;3;0,00 €;0,00 €;10,27 €;1,12 €;-9,15 €;-819.15% ;0,51 €;10,78 €;0,14 €  /  1,12 €  ( 12.64% )
ene-21;Football - Australia - A-League;Football;Does Team X score at least one goal?;0;0;1;0,00 €;0,00 €;21,60 €;9,17 €;-12,43 €;-135.62% ;0,00 €;21,60 €;2,58 €  /  9,17 €  ( 28.15% )
ene-21;Basketball - Germany - BBL;Basketball;Quarter Winner;14;14;21;0,00 €;0,00 €;81,46 €;54,23 €;-27,23 €;-50.20% ;0,85 €;82,31 €;0,97 €  /  6,92 €  ( 14.03% )
ene-21;Football - Portugal - Taca de Portugal;Football;Will there be at least 1 goal in both halves?;2;2;4;0,00 €;0,00 €;11,32 €;9,33 €;-1,99 €;-21.34% ;0,00 €;11,32 €;0,05 €  /  0,16 €  ( 33.25% )
ene-21;Football - Portugal - Taca de Portugal;Football;Remaining time 3-way;16;17;41;0,00 €;0,39 €;98,34 €;72,43 €;-26,31 €;-36.52% ;0,00 €;98,73 €;0,03 €  /  0,38 €  ( 8.52% )
ene-21;Football - Portugal - Taca de Portugal;Football;Over/Under and match bet;0;0;1;0,00 €;0,00 €;0,00 €;0,04 €;0,04 €;100.00%;0,00 €;0,00 €;0,01 €  /  0,04 €  ( 24.84% )
ene-21;Football - Romania - Liga I;Football;More/less rest of half;15;15;26;0,00 €;0,00 €;47,99 €;110,26 €;62,27 €;56.47%;0,00 €;47,99 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Romania - Liga I;Football;Who wins the half?;14;15;23;0,00 €;0,00 €;27,89 €;45,69 €;17,81 €;38.97%;0,00 €;27,89 €;2,19 €  /  20,75 €  ( 10.55% )
ene-21;Basketball - Russia - Superleague 1. Div., Women;Basketball;Match Winner;6;6;8;0,00 €;0,00 €;5,53 €;16,86 €;11,33 €;67.21%;0,00 €;5,53 €;0,06 €  /  0,13 €  ( 42.76% )
ene-21;Basketball - Russia - Superleague 1. Div., Women;Basketball;Over/Under per team;2;2;2;0,00 €;0,00 €;59,68 €;38,50 €;-21,18 €;-55.00% ;0,00 €;59,68 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Argentina - Copa Argentina;Football;Double chance;11;11;41;0,79 €;0,00 €;295,07 €;171,55 €;-123,52 €;-72.00% ;0,28 €;295,35 €;12,13 €  /  157,41 €  ( 7.70% )
ene-21;Football - Argentina - Copa Argentina;Football;Draw no bet;3;3;3;0,00 €;2,36 €;317,85 €;124,75 €;-195,45 €;-159.70% ;0,00 €;320,21 €;-0,11 €  /  2,36 €  ( -4.74% )
ene-21;Football - Argentina - Copa Argentina;Football;Highest scoring half?;1;1;1;0,00 €;0,00 €;5,96 €;4,58 €;-1,38 €;-30.00% ;0,00 €;5,96 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Argentina - Copa Argentina;Football;Over/Under goals in match;21;21;67;0,00 €;0,00 €;102,83 €;159,66 €;56,82 €;35.59%;0,30 €;103,13 €;14,20 €  /  70,19 €  ( 20.23% )
ene-21;Football - Argentina - Copa Argentina;Football;How many goals will team X score?;1;1;1;0,00 €;0,00 €;18,79 €;9,17 €;-9,63 €;-105.00% ;0,00 €;18,79 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Argentina - Copa Argentina;Football;Does Team X score at least one goal?;3;3;3;0,00 €;0,00 €;54,66 €;35,59 €;-19,07 €;-53.60% ;0,00 €;54,66 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Ice Hockey - Sweden - Hockey Allsvenskan;Ice Hockey;Draw no bet;4;4;5;0,00 €;46,91 €;21,63 €;60,46 €;-8,09 €;-59.69% ;0,00 €;68,54 €;-20,17 €  /  46,94 €  ( -42.97% )
ene-21;Basketball - Turkey - TBL;Basketball;Over/Under points in Match;1;1;1;0,00 €;0,00 €;18,91 €;11,46 €;-7,45 €;-65.00% ;0,00 €;18,91 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Turkey - TBL;Basketball;Over/Under points in Quarter;2;2;2;0,00 €;0,00 €;0,00 €;29,79 €;29,79 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Turkey - TBL;Basketball;Match Winner;0;0;1;0,00 €;0,00 €;0,00 €;1,20 €;1,20 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Russia - Russian Cup;Football;3-Way;0;0;5;0,00 €;0,00 €;0,00 €;0,09 €;0,09 €;100.00%;0,00 €;0,00 €;0,05 €  /  0,09 €  ( 59.86% )
ene-21;Football - Iceland - Cup;Football;Correct score;1;1;1;0,00 €;0,00 €;0,00 €;1,15 €;1,15 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Cyprus - 1st Division;Football;Handicap;1;1;5;0,00 €;0,00 €;5,03 €;2,53 €;-2,50 €;-98.72% ;0,00 €;5,03 €;0,49 €  /  2,53 €  ( 19.24% )
ene-21;Football - Cyprus - 1st Division;Football;Next goal of half;1;1;1;0,00 €;0,00 €;34,86 €;14,23 €;-20,63 €;-145.00% ;0,00 €;34,86 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Cyprus - 1st Division;Football;More/less rest of half;9;9;17;0,00 €;0,00 €;7,29 €;52,81 €;45,52 €;86.19%;0,00 €;7,29 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Cyprus - 1st Division;Football;Who wins the half?;19;19;29;0,00 €;0,00 €;13,03 €;96,05 €;83,02 €;86.43%;0,00 €;13,03 €;2,80 €  /  73,42 €  ( 3.82% )
ene-21;Basketball - Australia - NBL;Basketball;Handicap;1;1;1;0,00 €;0,00 €;0,00 €;0,46 €;0,46 €;100.00%;0,00 €;0,00 €;0,05 €  /  0,46 €  ( 10.55% )
ene-21;Basketball - Sweden - Ligan;Basketball;Quarter Winner;2;2;2;0,00 €;0,00 €;0,00 €;45,84 €;45,84 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Iceland - Fotbolti.net Cup B;Football;Over/Under goals in match;1;1;1;0,00 €;0,00 €;6,35 €;5,67 €;-0,68 €;-12.00% ;0,00 €;6,35 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Iceland - Fotbolti.net Cup B;Football;Halftime - Over/Under Bet;1;1;1;0,00 €;0,00 €;3,43 €;1,15 €;-2,28 €;-198.90% ;0,00 €;3,43 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Iceland - Fotbolti.net Cup B;Football;3-Way;0;0;1;0,00 €;0,00 €;0,53 €;0,04 €;-0,49 €;-1,281.05% ;0,03 €;0,55 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - England - BBL;Basketball;Quarter Winner;2;2;3;0,00 €;0,00 €;3,25 €;1,23 €;-2,03 €;-164.67% ;0,00 €;3,25 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Netherlands - Cup, Women;Football;Double chance;2;2;4;0,00 €;0,00 €;0,00 €;5,09 €;5,09 €;100.00%;0,00 €;0,00 €;0,05 €  /  0,13 €  ( 41.69% )
ene-21;Football - Netherlands - Cup, Women;Football;More/less rest of half;1;1;1;0,00 €;0,00 €;1,39 €;0,89 €;-0,49 €;-55.00% ;0,00 €;1,39 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Netherlands - Cup, Women;Football;3-Way;7;7;11;0,00 €;0,00 €;3,81 €;10,03 €;6,21 €;61.98%;0,03 €;3,84 €;0,01 €  /  0,05 €  ( 15.64% )
ene-21;Football - Netherlands - Cup, Women;Football;Remaining time 3-way;2;2;2;0,00 €;0,00 €;0,00 €;0,46 €;0,46 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Netherlands - Cup, Women;Football;Who wins the rest of the 1st half?;2;2;2;0,00 €;0,00 €;0,00 €;34,38 €;34,38 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Ice Hockey - Germany - DEL2;Ice Hockey;Double chance;0;0;7;0,00 €;0,00 €;0,00 €;0,71 €;0,71 €;100.00%;0,00 €;0,00 €;0,47 €  /  0,71 €  ( 66.68% )
ene-21;Football - Northern Ireland - JJB Sports Premiership;Football;3-Way;18;22;159;0,00 €;0,00 €;3,74 €;18,43 €;14,69 €;79.70%;0,11 €;3,85 €;2,85 €  /  10,17 €  ( 28.06% )
ene-21;Handball - Sweden - Allsvenskan;Handball;Who wins the half?;1;1;1;0,00 €;0,00 €;0,00 €;4,81 €;4,81 €;100.00%;0,00 €;0,00 €;0,75 €  /  4,81 €  ( 15.67% )
ene-21;Handball - Denmark - 1. Division;Handball;Double chance;1;1;2;0,00 €;0,00 €;0,00 €;15,28 €;15,28 €;100.00%;0,00 €;0,00 €;1,91 €  /  15,28 €  ( 12.47% )
ene-21;Handball - Denmark - 1. Division;Handball;3-Way;1;1;2;0,00 €;0,00 €;0,00 €;2,60 €;2,60 €;100.00%;0,00 €;0,00 €;0,19 €  /  2,60 €  ( 7.48% )
ene-21;Football - Switzerland - Challenge League;Football;Double chance First Half;1;1;10;0,00 €;0,00 €;0,13 €;0,70 €;0,56 €;80.78%;0,00 €;0,13 €;0,07 €  /  0,18 €  ( 38.23% )
ene-21;Football - Switzerland - Challenge League;Football;Draw no bet;1;1;3;0,00 €;0,00 €;0,30 €;0,39 €;0,09 €;22.88%;0,00 €;0,30 €;0,05 €  /  0,15 €  ( 32.91% )
ene-21;Football - Switzerland - Challenge League;Football;Who scores next ?;5;5;10;0,00 €;0,00 €;4,82 €;3,61 €;-1,21 €;-33.60% ;0,00 €;4,82 €;0,20 €  /  0,71 €  ( 27.93% )
ene-21;Football - Switzerland - Challenge League;Football;How many goals will be scored in this game?;1;1;1;0,00 €;0,00 €;0,00 €;1,15 €;1,15 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Switzerland - Challenge League;Football;Over/Under rest of the game;13;13;31;0,00 €;0,00 €;94,34 €;35,69 €;-58,65 €;-164.33% ;0,00 €;94,34 €;0,00 €  /  0,05 €  ( 2.17% )
