Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Ice Hockey - Sweden - HockeyEttan;Ice Hockey;Double chance;2;2;12;0,00 €;0,00 €;1,87 €;50,57 €;48,71 €;96.31%;0,19 €;2,05 €;-4,12 €  /  50,57 €  ( -8.14% )
ene-21;Basketball - Italy - Serie A;Basketball;Half-time Winner;2;2;2;0,00 €;0,00 €;0,43 €;0,93 €;0,50 €;53.75%;0,00 €;0,43 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Italy - Serie A;Basketball;Over/under points in quarter for team;8;8;8;0,00 €;0,00 €;140,27 €;168,52 €;28,25 €;16.76%;0,00 €;140,27 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Basketball - Spain - Liga ACB;Basketball;Half-time Winner;7;8;9;0,00 €;0,00 €;17,38 €;20,51 €;3,13 €;15.25%;0,01 €;17,39 €;0,85 €  /  12,10 €  ( 7.02% )
ene-21;Basketball - Spain - Liga ACB;Basketball;Halftime handicap;1;1;2;0,00 €;0,00 €;9,59 €;6,52 €;-3,07 €;-47.13% ;0,00 €;9,59 €;0,14 €  /  1,19 €  ( 11.80% )
ene-21;Football - Portugal - Liga Portugal 2;Football;Who scores next ?;9;10;20;0,00 €;0,00 €;41,10 €;42,51 €;1,41 €;3.33%;0,00 €;41,10 €;0,01 €  /  0,07 €  ( 11.41% )
ene-21;Football - Portugal - Liga Portugal 2;Football;Over/Under rest of the game;19;19;62;0,00 €;0,00 €;358,49 €;265,83 €;-92,67 €;-34.86% ;0,10 €;358,59 €;0,91 €  /  3,49 €  ( 26.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. V;Football;Highest scoring half?;0;0;1;0,00 €;0,00 €;0,00 €;0,09 €;0,09 €;100.00%;0,00 €;0,00 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. V;Football;Who scores next ?;1;1;3;0,00 €;0,00 €;0,27 €;0,32 €;0,04 €;13.46%;0,00 €;0,27 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Spain - Segunda Division RFEF, Gr. V;Football;Remaining time 3-way;3;3;14;0,00 €;0,00 €;6,02 €;18,11 €;12,09 €;66.76%;0,00 €;6,02 €;0,00 €  /  0,01 €  ( 12.72% )
ene-21;Basketball - Turkey - TBSL;Basketball;Halftime handicap;3;3;3;0,00 €;0,00 €;4,17 €;37,40 €;33,23 €;88.85%;0,00 €;4,17 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - Iceland - Cup;Football;Double chance;3;3;13;0,00 €;0,00 €;0,33 €;25,01 €;24,68 €;98.69%;0,00 €;0,33 €;-0,28 €  /  24,81 €  ( -1.14% )
ene-21;Ice Hockey - Slovakia - Extraliga;Ice Hockey;Double chance;2;2;4;0,00 €;0,00 €;11,13 €;51,75 €;40,62 €;78.50%;0,00 €;11,13 €;0,51 €  /  5,43 €  ( 9.46% )
ene-21;Ice Hockey - Slovakia - Extraliga;Ice Hockey;Over/Under points in Match;15;15;20;0,00 €;0,00 €;111,71 €;200,52 €;88,80 €;44.29%;0,00 €;111,71 €;0,08 €  /  0,11 €  ( 71.04% )
